Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
Aaron McKie,6636.0,44.900000000000006,NOHOF,0,957.0,0.08664705882352941,1995.0,2462.0,1090.0,199.0,1225.0,0.4235294117647059,0.75575,13.9,30.500000000000004,SG,3039.0,6.934169278996865,0,2.5726227795193313,1.1389759665621735,0.20794148380355276,1.2800417972831766,3.175548589341693
Aaron Miles,16.0,0.0,NOHOF,0,19.0,-0.015,2006.0,24.0,4.0,1.0,11.0,0.33299999999999996,1.0,-0.2,0.1,PG,14.0,0.8421052631578947,0,1.263157894736842,0.21052631578947367,0.05263157894736842,0.5789473684210527,0.7368421052631579
Aaron Swinson,24.0,0.0,NOHOF,0,9.0,0.039,1995.0,3.0,1.0,0.0,5.0,0.556,0.8,0.0,0.0,SF,8.0,2.6666666666666665,0,0.3333333333333333,0.1111111111111111,0.0,0.5555555555555556,0.8888888888888888
Aaron Williams,4618.0,31.7,NOHOF,0,838.0,0.04564999999999999,1994.0,525.0,320.0,597.0,742.0,0.48650000000000004,0.7170526315789473,14.9,16.4,PF,3174.0,5.5107398568019095,0,0.6264916467780429,0.3818615751789976,0.7124105011933174,0.8854415274463007,3.7875894988066827
Abdul Jeelani,1290.0,5.4,NOHOF,0,143.0,0.1055,1980.0,160.0,84.0,71.0,204.0,0.4675,0.8015000000000001,3.0999999999999996,2.3,SF,500.0,9.020979020979022,0,1.118881118881119,0.5874125874125874,0.4965034965034965,1.4265734265734267,3.4965034965034967
Acie Earl,1168.0,0.3,NOHOF,0,240.0,0.010333333333333335,1994.0,81.0,78.0,154.0,205.0,0.38466666666666666,0.6438333333333334,-2.2,2.5,C,613.0,4.866666666666666,0,0.3375,0.325,0.6416666666666667,0.8541666666666666,2.5541666666666667
Acie Law,1053.0,2.6,NOHOF,0,265.0,0.042444444444444444,2008.0,419.0,126.0,5.0,205.0,0.4138888888888889,0.7639999999999999,0.7,1.7000000000000002,PG,275.0,3.973584905660377,0,1.5811320754716982,0.47547169811320755,0.018867924528301886,0.7735849056603774,1.0377358490566038
Adam Harrington,60.0,0.1,NOHOF,0,38.0,-0.012999999999999984,2003.0,24.0,4.0,2.0,4.0,0.294,0.75,-0.1,0.1,SG,16.0,1.5789473684210527,0,0.631578947368421,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.42105263157894735
Adam Keefe,3107.0,24.9,NOHOF,0,617.0,0.10400000000000001,1993.0,427.0,307.0,173.0,545.0,0.48488888888888887,0.7132222222222223,13.2,11.700000000000001,PF,2556.0,5.035656401944895,0,0.6920583468395461,0.49756888168557534,0.28038897893030795,0.8833063209076175,4.1426256077795784
Adam Morrison,1409.0,-1.4,NOHOF,0,213.0,-0.012199999999999999,2007.0,263.0,49.0,16.0,204.0,0.36079999999999995,0.6672,-3.6000000000000005,2.1,PF,422.0,6.615023474178404,0,1.2347417840375587,0.2300469483568075,0.07511737089201878,0.9577464788732394,1.9812206572769953
