,Year,Name,Games,Category,PPG,TRB,APG,SPG,BPG,FGP,FG3P,FTPCT,WS,WS_per_48
218,2000,Isiah Thomas   ,979,Player,19.2,3.6,9.3,1.9,0.3,.452,.290,.759,80.7,.109
219,2000,Morgan Wootten   ,,Coach,,,,,,,,,,
220,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,
222,1999,Wayne Embry   ,,Contributor,,,,,,,,,,
223,1999,Kevin McHale   ,971,Player,17.9,7.3,1.7,0.4,1.7,.554,.261,.798,113.0,.180
224,1999,Billie Moore   ,,Coach,,,,,,,,,,
225,1999,John Thompson   ,,Coach,,,,,,,,,,
226,1999,Fred Zollner   ,,Contributor,,,,,,,,,,
227,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,
229,1998,Larry Bird   ,897,Player,24.3,10.0,6.3,1.7,0.8,.496,.376,.886,145.8,.203
230,1998,Jody Conradt   ,,Coach,,,,,,,,,,
231,1998,Alex Hannum   ,,Coach,,,,,,,,,,
232,1998,Marques Haynes   ,,Player,,,,,,,,,,
233,1998,Aleksandar Nikolic   ,,Coach,,,,,,,,,,
234,1998,Arnie Risen   ,637,Player,12.0,9.7,1.7,,,.381,,.699,56.0,.119
235,1998,Lenny Wilkens   ,,Coach,,,,,,,,,,
236,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,
238,1997,Pete Carril   ,,Coach,,,,,,,,,,
239,1997,Joan Crawford   ,,Player,,,,,,,,,,
240,1997,Denise Curry   ,,Player,,,,,,,,,,
241,1997,Antonio Diaz-Miguel   ,,Coach,,,,,,,,,,
242,1997,Alex English   ,1193,Player,21.5,5.5,3.6,0.9,0.7,.507,.217,.832,100.7,.127
243,1997,Don Haskins   ,,Coach,,,,,,,,,,
244,1997,Bailey Howell   ,950,Player,18.7,9.9,2.0,,,.480,,.762,114.8,.180
245,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,
247,1996,Kresimir Cosic   ,,Player,,,,,,,,,,
248,1996,George Gervin   ,1060,Player,25.1,5.3,2.6,1.2,1.0,.504,.271,.841,116.3,.157
249,1996,Gail Goodrich   ,1031,Player,18.6,3.2,4.7,1.3,0.2,.456,,.807,76.3,.109
250,1996,WNBA,,Player,,,,,,,,,,
251,1996,David Thompson   ,592,Player,22.7,4.1,3.3,1.0,0.9,.505,.255,.781,63.3,.156
252,1996,George Yardley   ,472,Player,19.2,8.9,1.7,,,.422,,.780,58.5,.178
253,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,
