Player,PTS,WS,HOF,VALUE,G,WS/48,Year,AST,STL,BLK,TOV,FG%,FT%,OWS,DWS,Pos,TRB,PPG,MVP,APG,SPG,BPG,TPG,RPG
Bobby Wanzer*,6311.0,56.99999999999999,HOF,1,508.0,0.17716666666666667,1950.0,1644.0,0.0,0.0,0.0,0.40412499999999996,0.79925,41.29999999999999,15.6,G,1979.0,12.423228346456693,0,3.236220472440945,0.0,0.0,0.0,3.895669291338583
Calvin Murphy*,17949.0,84.10000000000001,HOF,1,1002.0,0.12723076923076923,1971.0,4402.0,1165.0,51.0,822.0,0.47792307692307695,0.8978461538461538,67.5,16.5,PG,2103.0,17.91317365269461,0,4.393213572854291,1.1626746506986028,0.05089820359281437,0.8203592814371258,2.0988023952095807
Charles Barkley*,23757.0,177.10000000000002,HOF,1,1073.0,0.21106250000000001,1985.0,4215.0,1648.0,888.0,3376.0,0.5327500000000001,0.7279374999999999,123.39999999999999,54.0,PF,12546.0,22.140726933830383,1,3.928238583410997,1.5358807082945014,0.8275862068965517,3.146318732525629,11.692451071761417
Chet Walker*,18831.0,117.5,HOF,1,1032.0,0.16730769230769232,1963.0,2126.0,117.0,10.0,0.0,0.4686923076923077,0.7913076923076924,78.2,38.9,SF,7314.0,18.247093023255815,0,2.060077519379845,0.11337209302325581,0.009689922480620155,0.0,7.087209302325581
Chris Mullin*,17911.0,93.09999999999998,HOF,1,986.0,0.12868749999999998,1986.0,3450.0,1530.0,549.0,2315.0,0.48993749999999997,0.8646249999999999,69.3,23.700000000000003,SG,4034.0,18.16531440162272,0,3.4989858012170387,1.5517241379310345,0.5567951318458418,2.347870182555781,4.0912778904665315
Cliff Hagan*,13447.0,75.0,HOF,1,745.0,0.1569,1957.0,2242.0,0.0,0.0,0.0,0.4431,0.7946,53.199999999999996,21.8,SF,5116.0,18.0496644295302,0,3.0093959731543625,0.0,0.0,0.0,6.8671140939597315
Clyde Drexler*,23848.0,147.3,HOF,1,1162.0,0.17311764705882357,1984.0,6487.0,2343.0,764.0,3163.0,0.4661176470588236,0.7886470588235295,93.8,53.70000000000001,SG,7157.0,20.523235800344235,0,5.582616179001721,2.0163511187607575,0.657487091222031,2.7220309810671255,6.1592082616179
Clyde Lovellette*,11947.0,70.59999999999998,HOF,1,704.0,0.17354545454545456,1954.0,1097.0,0.0,0.0,0.0,0.44118181818181806,0.7632727272727272,45.0,25.499999999999996,C,6663.0,16.970170454545453,0,1.5582386363636365,0.0,0.0,0.0,9.464488636363637
Connie Hawkins*,9232.0,54.7,HOF,1,578.0,0.12000000000000001,1970.0,2459.0,357.0,231.0,0.0,0.4696666666666666,0.7553333333333333,34.70000000000001,19.9,SF,4536.0,15.972318339100346,0,4.2543252595155705,0.6176470588235294,0.39965397923875434,0.0,7.8477508650519034
Dan Issel*,14659.0,82.39999999999999,HOF,1,718.0,0.17377777777777778,1977.0,1804.0,698.0,396.0,1281.0,0.5045555555555556,0.7991111111111111,63.099999999999994,19.200000000000003,C,5707.0,20.41643454038997,0,2.512534818941504,0.9721448467966574,0.5515320334261838,1.7841225626740946,7.9484679665738165
